value_deviation,transition_rarity,constraint_score,raw_value_deviation,raw_transition_rarity,raw_constraint_score,stis_score,DATETIME,prediction
0.9097199390878797,0.0,0.0,813023.9226673949,0.0,0.0,0.9097199390878797,2017-01-04 00:00:00,0
0.9398929794519169,6.471599687081417,0.0,837675.6753378755,13.122363377404328,0.0,7.411492666533334,2017-01-04 01:00:00,1
0.9583958358654354,6.471599687081417,0.0,852792.7412516946,13.122363377404328,0.0,7.429995522946852,2017-01-04 02:00:00,1
0.0,6.471599687081417,0.0,34652.25609506069,13.122363377404328,0.0,6.471599687081417,2017-01-04 03:00:00,1
0.0,6.471599687081417,0.0,49304.930929803195,13.122363377404328,0.0,6.471599687081417,2017-01-04 04:00:00,1
0.0,0.0,0.0,46514.36231337734,2.2110087745101876,0.0,0.0,2017-01-04 05:00:00,0
0.0,6.471599687081417,0.0,49071.82791457928,13.122363377404328,0.0,6.471599687081417,2017-01-04 06:00:00,1
0.0,0.0,0.0,33722.28781124672,2.3025750930440454,0.0,0.0,2017-01-04 07:00:00,0
0.0,0.0,0.0,8372.510516397662,2.240700289320138,0.0,0.0,2017-01-04 08:00:00,0
0.0,0.0,0.0,6744.652629179003,2.52571614438638,0.0,0.0,2017-01-04 09:00:00,0
1.0056449663589002,0.3282407298178275,0.0,891395.8738749631,3.0757533147955796,0.0,1.3338856961767278,2017-01-04 10:00:00,1
1.0056448790976882,1.1114790863879673,0.0,891395.8025814578,4.356630829731434,0.0,2.1171239654856553,2017-01-04 11:00:00,1
0.9874284704966844,0.0,0.0,876512.7681255863,2.52571614438638,0.0,0.9874284704966844,2017-01-04 12:00:00,0
0.9848667497225332,0.0,0.0,874419.8101016917,1.7227609977567835,0.0,0.9848667497225332,2017-01-04 13:00:00,0
1.0386664940602373,0.007993289776981575,0.0,918374.8764505547,2.552033119374642,0.0,1.046659783837219,2017-01-04 14:00:00,0
0.0,0.0,0.0,0.570067655517781,2.179973924786994,0.0,0.0,2017-01-04 15:00:00,0
0.0,0.7885929405291243,0.0,30001.407400423974,3.8285953975470624,0.0,0.7885929405291243,2017-01-04 16:00:00,0
0.0,0.7107300604947456,0.0,35349.39578549512,3.7012614749325965,0.0,0.7107300604947456,2017-01-04 17:00:00,0
0.0,0.0,0.0,30233.104921691855,1.6094329124466003,0.0,0.0,2017-01-04 18:00:00,0
0.0,0.5761702440498563,0.0,48373.48752219114,3.4812075898638053,0.0,0.5761702440498563,2017-01-04 19:00:00,0
0.0,0.3647573759478685,0.0,46512.99703723312,3.1354712161936455,0.0,0.3647573759478685,2017-01-04 20:00:00,0
0.9828747732097105,0.03136471128472329,0.0,872792.3402899972,2.5902538322013813,0.0,1.0142394844944338,2017-01-04 21:00:00,0
0.9549797579787717,0.7031341721828168,0.0,850001.7627440894,3.6888394549139147,0.0,1.6581139301615884,2017-01-04 22:00:00,1
0.9202521675270957,0.0,0.0,821628.8854891731,2.4848946498599997,0.0,0.9202521675270957,2017-01-04 23:00:00,0
0.8886567409321605,0.0,0.0,795815.0254160925,1.6739711002525604,0.0,0.8886567409321605,2017-01-05 00:00:00,0
0.9006112911232577,0.279296773262607,1.0,805582.0429603047,2.995712273753988,1.0,1.1799080643858646,2017-01-05 01:00:00,0
0.9293620910987196,0.0,0.0,829071.8073831935,1.961651394937625,0.0,0.9293620910987196,2017-01-05 02:00:00,0
0.0,6.471599687081417,1.0,48607.62722365601,13.122363377404328,1.0,6.471599687081417,2017-01-05 03:00:00,1
0.0,6.471599687081417,0.0,54885.85497557685,13.122363377404328,0.0,6.471599687081417,2017-01-05 04:00:00,1
0.0,6.471599687081417,0.0,34652.44719785486,13.122363377404328,0.0,6.471599687081417,2017-01-05 05:00:00,1
0.0,0.9196947969741559,0.0,48142.29787881171,4.042994269458989,0.0,0.9196947969741559,2017-01-05 06:00:00,0
0.0,6.471599687081417,0.0,46514.44733470851,13.122363377404328,0.0,6.471599687081417,2017-01-05 07:00:00,1
0.007969280433721766,0.7256444752067842,0.0,76282.31693645057,3.725651928097754,0.0,0.733613755640506,2017-01-05 08:00:00,0
0.0,6.471599687081417,0.0,33955.24616127627,13.122363377404328,0.0,6.471599687081417,2017-01-05 09:00:00,1
0.0,0.0,0.0,31164.54592896959,0.9360908091735861,0.0,0.0,2017-01-05 10:00:00,0
0.9905601981749675,1.2755040189116493,0.0,879071.4289441478,4.624870818485918,0.0,2.2660642170866168,2017-01-05 11:00:00,1
0.9840132829845912,0.04147200811359922,0.0,873722.5170651801,2.606782911933357,0.0,1.0254852910981904,2017-01-05 12:00:00,0
1.0025151666480645,6.471599687081417,0.0,888838.7882300037,13.122363377404328,0.0,7.474114853729482,2017-01-05 13:00:00,1
0.9589646689927734,0.0,0.0,853257.4850559891,2.0794335417118357,0.0,0.9589646689927734,2017-01-05 14:00:00,0
0.0,0.0,0.0,23257.502222504063,2.2772575350572866,0.0,0.0,2017-01-05 15:00:00,0
0.0,0.0,0.0,46513.96750876641,2.272116185556382,0.0,0.0,2017-01-05 16:00:00,0
0.0008531512609304533,1.0625377793504436,0.0,70468.35008981054,4.276594121607931,0.0,1.063390930611374,2017-01-05 17:00:00,0
0.0415592272926416,0.9905200222090295,0.0,103725.72509785095,4.158819085407584,0.0,1.032079249501671,2017-01-05 18:00:00,0
0.0,0.19179427619058684,0.0,52793.14353935316,2.8526140967302047,0.0,0.19179427619058684,2017-01-05 19:00:00,0
0.0,0.7751537635788106,0.0,29536.732429074775,3.806617490782789,0.0,0.7751537635788106,2017-01-05 20:00:00,0
